ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_173_DCM_0.22-3_G_scaffold85527_1_gene92626	TARA_196_SRF_0.22-3_G_scaffold223921_1_gene268925	TARA_180_SRF_0.22-3_G_C7171745_1_gene424645	TARA_067_SRF_0.22-0.45_G_scaffold144377_1_gene142735	TARA_082_DCM_0.22-3_G_scaffold109576_1_gene104882	TARA_067_SRF_0.22-3_G_scaffold30527_1_gene35755	TARA_067_SRF_lt-0.22_G_scaffold110274_1_gene108132	TARA_082_SRF_0.22-3_G_scaffold160868_1_gene160643	TARA_196_SRF_0.22-3_G_scaffold167694_1_gene185363	TARA_206_SRF_lt-0.22_G_scaffold1112_3_gene5143	TARA_188_SRF_0.22-3_G_scaffold199525_1_gene246819	TARA_173_DCM_0.22-3_G_scaffold85576_1_gene92682	TARA_180_SRF_0.22-3_G_C7013134_1_gene356550	TARA_180_SRF_lt-0.22_G_scaffold82597_2_gene233135	TARA_210_SRF_0.22-3_G_scaffold21461_1_gene17795	TARA_188_DCM_lt-0.22_G_scaffold11894_2_gene41265	TARA_175_SRF_0.22-3_G_scaffold135720_1_gene142538	TARA_180_SRF_0.22-3_G_scaffold81862_1_gene125059
TARA_122_SRF_0.22-3_G	TARA_122_SRF	Pico	SRF	Trades	SPO	-8.9971	-139.1963	5	102	26.60467	35.37032	0.56795	5.456	2.1905	0.177137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_123_SRF_0.22-3_G	TARA_123_SRF	Pico	SRF	Trades	SPO	-8.9068	-140.283	5	122	26.586685	35.3551	0.53495	4.9015	2.2205	0.181215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_124_SRF_0.22-3_G	TARA_124_SRF	Pico	SRF	Trades	SPO	-8.8517	-140.5782	5	105	26.572419	35.384031	0.63025	6.2015	2.53325	0.261381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_125_SRF_0.22-3_G	TARA_125_SRF	Pico	SRF	Trades	SPO	-8.9111	-142.5571	5	109	26.80604	35.42651	0.55725	3.7335	1.80475	0.178072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_128_DCM_0.22-3_G	TARA_128_DCM	Pico	DCM	Trades	SPO	5e-4	-153.6755	40	64	26.139288	35.146525	0.54925	5.264	2.7405	0.28262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_128_SRF_0.22-3_G	TARA_128_SRF	Pico	SRF	Trades	SPO	0.0138	-153.6393	5	71	26.218438	35.129025	0.53975	5.0815	2.668	0.25349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_132_DCM_0.22-3_G	TARA_132_DCM	Pico	DCM	Westerlies	NPO	31.4949	-159.0561	115	51	15.304405	34.38819	0.1252	0.047	4.4468	0.156908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_132_SRF_0.22-3_G	TARA_132_SRF	Pico	SRF	Westerlies	NPO	31.5213	-158.9958	5	42	25.164595	35.19025	0.0062	0.01	2.4278	0.101563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_133_DCM_0.22-3_G	TARA_133_DCM	Pico	DCM	Westerlies	NPO	35.4068	-127.7432	45	11	13.874505	33.208145	0.43225	0.92875	2.65725	0.389715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_133_SRF_0.22-3_G	TARA_133_SRF	Pico	SRF	Westerlies	NPO	35.3671	-127.7422	5	11	19.24802	33.07013	0.2925	0.011	1.95475	0.140785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
