ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_067_SRF_0.22-0.45_G_C17442180_1_gene509279	TARA_067_SRF_0.22-0.45_G_C17242166_1_gene403688	TARA_145_SRF_0.22-3_G_scaffold242061_1_gene241117	TARA_067_SRF_0.45-0.8_G_scaffold219644_1_gene229127	TARA_145_SRF_0.22-3_G_scaffold270121_1_gene276069
TARA_039_DCM_0.22-1.6_G	TARA_039_DCM	Pico	DCM	Trades	IO	18.5745	66.4895	25	26	26.692435	36.40162	0.2465	0.0675	1.2415	0.196803	0	0	0	0	0
TARA_041_DCM_0.22-1.6_G	TARA_041_DCM	Pico	DCM	Trades	IO	14.56	70.0117	70	25	26.317294	36.384231	1.348	15.2	5.774	0.224545	0	0	0	0	0
TARA_041_SRF_0.22-1.6_G	TARA_041_SRF	Pico	SRF	Trades	IO	14.6067	69.9775	5	25	29.151544	36.0499	0.1565	0.057	1.3865	0.092377	0	0	0	0	0
TARA_042_DCM_0.22-1.6_G	TARA_042_DCM	Pico	DCM	Trades	IO	5.9994	73.8978	80	32	27.9561	35.044342	0.2505	0.741	2.7335	0.228999	0	0	0	0	0
TARA_042_SRF_0.22-1.6_G	TARA_042_SRF	Pico	SRF	Trades	IO	6.0001	73.8955	5	41	30.12785	34.56775	0.0765	0.022	2.171	0.080016	0	0	0	0	0
TARA_045_SRF_0.22-1.6_G	TARA_045_SRF	Pico	SRF	Trades	IO	0.0023	71.6311	5	43	30.59345	35.0481	NA	NA	NA	0.058503	0	0	0	0	0
TARA_048_SRF_0.22-1.6_G	TARA_048_SRF	Pico	SRF	Trades	IO	-9.3921	66.4236	5	18	29.818108	34.184183	0.0825	0.07475	2.22425	0.077086	0	0	0	0	0
TARA_052_DCM_0.22-1.6_G	TARA_052_DCM	Pico	DCM	Trades	IO	-16.9539	54.0073	70	57	26.129767	34.847833	0.159	0.4675	2.824	0.22414	0	0	0	0	0
TARA_052_SRF_0.22-1.6_G	TARA_052_SRF	Pico	SRF	Trades	IO	-16.957	53.9852	5	53	27.956483	34.54545	0.119	0	2.666	0.134305	0	0	0	0	0
TARA_056_SRF_0.22-3_G	TARA_056_SRF	Pico	SRF	Coastal	IO	-15.3424	43.2965	5	82	27.296125	35.0302	0	0	2.812112	0.098701	0	0	0	0	0
TARA_057_SRF_0.22-3_G	TARA_057_SRF	Pico	SRF	Coastal	IO	-17.0248	42.7401	5	17	26.553475	35.124517	NA	NA	NA	0.140592	0	0	0	0	0
TARA_058_DCM_0.22-3_G	TARA_058_DCM	Pico	DCM	Coastal	IO	-17.3401	42.2821	70	37	24.365844	35.1687	0	2.593819	3.856196	0.204152	0	0	0	0	0
TARA_062_SRF_0.22-3_G	TARA_062_SRF	Pico	SRF	Coastal	IO	-22.3369	40.3412	5	71	NA	NA	NA	NA	NA	NA	0	0	0	0	0
TARA_064_DCM_0.22-3_G	TARA_064_DCM	Pico	DCM	Coastal	IO	-29.5022	37.9904	60	140	22.208705	35.34241	0.0815	NA	1.7455	0.145836	0	0	0	0	0
TARA_064_SRF_0.22-3_G	TARA_064_SRF	Pico	SRF	Coastal	IO	-29.5019	37.9889	5	140	22.2414	35.32467	0.084	0	1.7665	0.136664	0	0	0	0	0
TARA_065_DCM_0.22-3_G	TARA_065_DCM	Pico	DCM	Coastal	IO	-35.2421	26.3048	30	66	21.72823	35.451512	NA	NA	NA	0.177651	0	0	0	0	0
TARA_065_SRF_0.22-3_G	TARA_065_SRF	Pico	SRF	Coastal	IO	-35.1728	26.2868	5	78	21.76357	35.449638	NA	NA	NA	0.176479	0	0	0	0	0
TARA_066_DCM_0.22-3_G	TARA_066_DCM	Pico	DCM	Coastal	SAO	-34.8901	18.0459	30	67	15.014	35.32305	0.34975	3.309875	2.5895	0.221666	0	0	0	0	0
TARA_066_SRF_0.22-3_G	TARA_066_SRF	Pico	SRF	Coastal	SAO	-34.9449	17.9189	5	91	15.013362	35.3233	0.343	3.34	2.7435	0.221666	0	0	0	0	0
