ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_067_SRF_0.22-3_G	TARA_067_SRF	Pico	SRF	Coastal	SAO	-32.2401	17.7103	5	25	13.04322	34.870735	NA	NA	NA	0.765222	0.0031348288354552676	0.11068993615362957	6.433147018288406e-4	0.008100878118889222	0.02208088693008883	0.035878656542402104	0	0	0	0	0	0.00451243210461343	0.016762958015413137
TARA_068_DCM_0.22-3_G	TARA_068_DCM	Pico	DCM	Trades	SAO	-31.0616	4.6617	40	210	16.75627	35.68462	0.227	1.08	2.436	0.355259	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_068_SRF_0.22-3_G	TARA_068_SRF	Pico	SRF	Trades	SAO	-31.0616	4.6617	5	210	16.86368	35.686225	0.1455	0.939	1.9865	0.316174	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_070_SRF_0.22-3_G	TARA_070_SRF	Pico	SRF	Trades	SAO	-20.4091	-3.1759	5	149	19.77001	36.35839	0.309	0.8015	1.1485	0.117466	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_DCM_0.22-3_G	TARA_072_DCM	Pico	DCM	Trades	SAO	-8.7026	-17.9398	100	88	23.635845	36.60243	0.143	0.044	1.284	0.244384	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_072_SRF_0.22-3_G	TARA_072_SRF	Pico	SRF	Trades	SAO	-8.8118	-17.9126	5	86	25.064425	36.41678	0.104	0.018	0.868	0.104143	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_076_DCM_0.22-3_G	TARA_076_DCM	Pico	DCM	Trades	SAO	-20.999	-35.3216	130	31	22.233095	36.87312	0.029715	0	0.814172	0.102446	0	0	0	0	0	0	0	0	0.047367000571558404	0	0	0	0
TARA_076_SRF_0.22-3_G	TARA_076_SRF	Pico	SRF	Trades	SAO	-20.9354	-35.1803	5	50	23.374825	37.076575	0.055883	0	0.814172	0.055113	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_078_DCM_0.22-3_G	TARA_078_DCM	Pico	DCM	Trades	SAO	-30.1551	-43.2595	120	85	19.32335	36.27746	0	0.104	0.319	0.16855	0	0	0	0.004739434170512679	0	0	0.01291052225477158	0.017523705130928383	0.29270110230045493	0.2654845709713416	0	0	0
TARA_078_SRF_0.22-3_G	TARA_078_SRF	Pico	SRF	Trades	SAO	-30.1367	-43.2899	5	89	20.07775	36.32553	0	0.026	0.749	0.066207	0	0	0	0	0.01310635782913803	0	0.03627401707213286	0	0.24511806879910983	0.24535410094159205	0	0	0
