ids	Sample	Size	Depth	Biome	Region	Latitude	Longitude	Depth.nominal	Depth.Mixed.Layer	Temperature	Salinity	PO4	NO2NO3	Si	ChlorophyllA	TARA_208_SRF_0.22-3_G_scaffold180075_1_gene217350	TARA_067_SRF_lt-0.22_G_scaffold77676_1_gene65551	TARA_208_SRF_0.22-3_G_scaffold190124_1_gene237696	TARA_151_DCM_0.22-3_G_scaffold175905_1_gene147338	TARA_067_SRF_0.22-3_G_scaffold35176_1_gene41262	TARA_082_DCM_0.22-3_G_scaffold78618_1_gene75306	TARA_066_DCM_lt-0.22_G_C3726495_1_gene127366	TARA_066_SRF_0.22-3_G_scaffold153372_1_gene123470	TARA_078_SRF_0.22-0.45_G_scaffold145770_1_gene96930	TARA_149_SRF_0.22-3_G_scaffold246964_1_gene263373	TARA_158_SRF_0.22-3_G_scaffold194498_1_gene182789	TARA_152_MIX_0.22-3_G_scaffold253131_1_gene220687	TARA_196_SRF_lt-0.22_G_scaffold13817_3_gene40494
TARA_158_DCM_lt-0.22_G	TARA_158_DCM	Virome	DCM	Polar	AO	67.1178	0.369	25	10	6.73489	35.15072	0.709183	11.784	4.95809	0.764172	0	0	0	3.1708322378957304e-4	0.0013674552173900314	9.283603652949136e-4	0	0	0	0	0.029299101894875706	0.0031536909093501596	0.059668867048534975
TARA_158_SRF_lt-0.22_G	TARA_158_SRF	Virome	SRF	Polar	AO	67.141	0.2355	5	11	8.47447	35.145165	0.356899	5.1155	4.012069	1.174328	0	0	0	0	0.0018531574988481588	0.0011813904091047475	0	0	0	0	0.04155841674282358	0.003784892838062392	0.0930081526501377
TARA_163_SRF_lt-0.22_G	TARA_163_SRF	Virome	SRF	Polar	AO	76.1804	1.3093	5	111	1.899612	34.888656	0.290483	2.7725	4.18531	2.780097	0	0	0	0	0	0	0	0	0	0	0	0.001497360548005097	0.005945402175902568
TARA_168_DCM_lt-0.22_G	TARA_168_DCM	Virome	DCM	Polar	AO	72.5869	44.1285	40	19	3.824545	34.975345	0.098435	0.821	1.135333	1.1063	0	0	0	0	0	6.020397921255015e-4	0	0	0	0	0.007265406723932519	0.004287019664769357	0.0054388786336957
TARA_168_SRF_lt-0.22_G	TARA_168_SRF	Virome	SRF	Polar	AO	72.5128	44.0775	5	15	7.48766	34.92331	0	0.0595	1.725127	0.825342	0.004301671808690539	0	0	0	0	0.005807775660484831	0	0	0	0	0.04319214344905321	0.027787732676727454	0.007001317380703101
TARA_173_DCM_lt-0.22_G	TARA_173_DCM	Virome	DCM	Polar	AO	78.9537	79.3788	35	15	-1.29785	34.4561	0.209065	1.709	0.231772	2.003142	0	0	0	0	0	0	0	0	0	0	0.0010034393931701822	0	0.0016662377006862361
TARA_173_SRF_lt-0.22_G	TARA_173_SRF	Virome	SRF	Polar	AO	78.9564	79.4201	5	15	-0.160312	33.613775	0.056871	0.441	0.273079	0.417069	0	0	0	0	9.415395785579267e-4	0	0	0	0	0	0	0	0
TARA_175_SRF_lt-0.22_G	TARA_175_SRF	Virome	SRF	Polar	AO	79.2233	66.3435	5	374	1.365705	34.264755	0.063634	0.3685	0.523062	1.019477	0	0	0	0	0	0	0	0	0	0	0	0	0.0010491810074502199
TARA_178_SRF_lt-0.22_G	TARA_178_SRF	Virome	SRF	Polar	AO	77.1604	73.2057	5	16	1.325833	34.142392	0.047034	0.278	0.244154	0.119264	0	0	0	0	0.00985913273168374	0	0	0	0	0	0	0	0.003808255490668445
TARA_180_SRF_lt-0.22_G	TARA_180_SRF	Virome	SRF	Polar	AO	74.8023	76.1478	5	11	2.507887	22.980169	0.23830200000000001	0.247333	11.775524	0.547446	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_188_DCM_lt-0.22_G	TARA_188_DCM	Virome	DCM	Polar	AO	78.2528	91.8537	15	27	-1.680906	33.065344	0.298947	1.2055	0.705547	1.427906	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_188_SRF_lt-0.22_G	TARA_188_SRF	Virome	SRF	Polar	AO	78.2518	91.8557	5	27	-1.649738	32.950844	0.216027	0.513	0.465648	1.417326	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_189_DCM_lt-0.22_G	TARA_189_DCM	Virome	DCM	Polar	AO	77.9401	116.9045	35	150	-1.53759	33.76046	NA	NA	NA	0.641276	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_189_SRF_lt-0.22_G	TARA_189_SRF	Virome	SRF	Polar	AO	77.9028	117.1545	5	150	0.10149	28.82053	NA	NA	NA	0.815481	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_191_SRF_lt-0.22_G	TARA_191_SRF	Virome	SRF	Polar	AO	71.5948	160.9381	5	20	1.48885	28.41685	1.195806	1.06325	19.646147	0.431723	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_193_SRF_lt-0.22_G	TARA_193_SRF	Virome	SRF	Polar	AO	71.0704	174.9916	5	17	2.4534	29.0291	1.614977	6.2695	30.149509	0.58652	0	0	0	0	0	0	0	0	0	0	0	0	0.0017473112644510594
TARA_194_DCM_lt-0.22_G	TARA_194_DCM	Virome	DCM	Polar	AO	73.3824	-168.5345	35	14	-0.987833	31.56495	0.866194	1.9045	5.566842	0.544297	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_194_SRF_lt-0.22_G	TARA_194_SRF	Virome	SRF	Polar	AO	73.3833	-168.1333	5	33	-0.585333	27.442	0.361653	0.2285	1.424261	0.404899	0	0	0	0	0	0	0	0	0	0	0	0	6.452681373646653e-4
TARA_196_SRF_lt-0.22_G	TARA_196_SRF	Virome	SRF	Polar	AO	71.8895	-154.9101	5	14	2.5694	28.60925	0.430504	0.4235	2.822912	0.485962	0	0	0	0	4.460247212819115e-4	2.73883858896197e-4	0	0	0	0	0	0	0.06056186961510797
TARA_201_DCM_lt-0.22_G	TARA_201_DCM	Virome	DCM	Polar	AO	74.305	-85.6552	35	16	-0.405775	31.887788	0.676777	2.037	3.683051	0.89624	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_201_SRF_lt-0.22_G	TARA_201_SRF	Virome	SRF	Polar	AO	74.296	-85.7059	5	16	-1.53136	30.78952	0.526245	1.328	2.062045	0.718479	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_205_SRF_lt-0.22_G	TARA_205_SRF	Virome	SRF	Polar	AO	72.471	-71.8887	5	239	-0.479225	31.99537	0.560568	0.411	0.298067	1.1319	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_206_SRF_lt-0.22_G	TARA_206_SRF	Virome	SRF	Polar	AO	70.961	-53.6306	5	294	1.457935	32.07443	0.220883	1.24175	1.04231	0.774682	4.6385679972884723e-4	0	6.177935545517528e-4	0	0	1.9598227347208727e-4	0	0	0	0	0	3.0558814490761887e-4	0.007844201533127763
TARA_208_SRF_lt-0.22_G	TARA_208_SRF	Virome	SRF	Polar	AO	69.1136	-51.5086	5	141	3.1965	32.99175	0.312072	1.916	0.819597	0.39292	0.011292060160409277	0	0.010844699718377952	7.227341744946483e-4	6.556150940141622e-4	0.001947610450918994	0	0	0	0	0.002165429729187761	8.5813052873319e-4	0.014102027105002106
TARA_209_SRF_lt-0.22_G	TARA_209_SRF	Virome	SRF	Polar	AO	64.713	-53.0108	5	17	2.496125	32.603119	NA	NA	NA	0.825917	1.857602215382577e-4	0	3.895928753036407e-4	0	2.4025340719517217e-4	2.7351782027348556e-4	0	0	0	0	0.005148762235865161	6.560616639971657e-4	0.07347702436075482
TARA_210_SRF_lt-0.22_G	TARA_210_SRF	Virome	SRF	Polar	AO	61.5442	-55.9865	5	147	5.295265	34.212769	0.511975	5.8035	2.252584	0.613636	0	0	0	0	0.0013525676349435561	0	0	0	0	0	0.010788129981509086	3.5045899187334284e-4	0.08899127222181681
