otu	mean_freq	max_freq	opt_temp	thermotype
662780	4.806778085317669e-4	0.02631578947368421	27.558763	high
520433	0	0	16.3584	medium
247536	0	0	16.3584	medium
425198	0	0	16.3584	medium
31141	3.156515262918205e-5	0.00243690165361183	13.04322	medium
599377	0	0	16.3584	medium
125921	1.4577753546311884e-7	1.370308833353317e-5	-1.680906	low
89199	0	0	16.3584	medium
124522	0	0	16.3584	medium
78939	3.7034979538173803e-6	3.4812880765883376e-4	13.04322	medium
38345	3.057024183906958e-5	0.00186567164179104	6.73489	low
4399	0.012368907935588808	0.24873096446700507	19.32335	medium
216222	2.407195287233182e-6	1.2939121433654655e-4	2.5694	low
68457	1.1857773896563195e-5	6.462035541195477e-4	16.3584	medium
664772	0	0	16.3584	medium
248916	0	0	16.3584	medium
88860	1.2073053942845234e-4	0.00943396226415094	13.874505	medium
67784	1.3177731893993175e-5	9.584052137243628e-4	20.481195	high
108598	3.979464540748696e-5	0.00165198237885462	-0.987833	low
732836	2.7935239410588793e-7	2.6259125045953468e-5	-0.160312	low
241405	0	0	16.3584	medium
175017	2.9170588175203387e-5	0.0014792899408284	7.48766	low
413549	0	0	16.3584	medium
8432	0.012546050746899184	0.3722879684418146	7.48766	low
16618	2.5157819116220615e-4	0.01195652173913043	-0.405775	low
18581	0.016396767479578172	0.7	18.319192	medium
687064	0	0	16.3584	medium
2706	0.02118649555114133	0.7920792079207921	26.586685	high
807271	0	0	16.3584	medium
127132	1.3248191621843616e-5	0.0012453300124533	21.48665	high
642056	1.5151896244663125e-7	1.4242782469983337e-5	2.507887	low
372259	2.6595744680851064e-5	0.0025	24.98644	high
57537	7.921629322528791e-4	0.06451612903225806	19.24802	medium
194681	4.360328304180609e-4	0.02272727272727272	26.313595	high
375934	5.85809354203768e-6	5.506607929515419e-4	-0.987833	low
5967	0.02018084290031143	0.39643652561247217	1.9034	low
717005	2.4363124607555467e-4	0.02272727272727272	16.60395	medium
706723	0	0	16.3584	medium
369452	2.5449967952993366e-5	0.00222717149220489	1.9034	low
285638	0	0	16.3584	medium
166113	0	0	16.3584	medium
393931	1.1563367252543937e-5	0.00108695652173913	-0.405775	low
103383	1.486659260534154e-5	0.00108695652173913	-0.405775	low
111079	0	0	16.3584	medium
508719	3.2237266279819466e-4	0.0303030303030303	15.181967	medium
95118	4.4514074434226427e-4	0.0175438596491228	29.151544	high
98164	0	0	16.3584	medium
64597	2.3953281126104403e-5	0.00165198237885462	-0.987833	low
523941	2.7935239410588793e-7	2.6259125045953468e-5	-0.160312	low
227006	0	0	16.3584	medium
406987	1.0113711091927288e-4	0.00943396226415094	13.874505	medium
288328	0	0	16.3584	medium
97923	1.0353866576584013e-4	0.00398406374501992	26.317294	high
85156	3.60287039680037e-4	0.02	18.319192	medium
28561	0.021232212158438724	0.8431372549019608	19.279945	medium
748715	1.7566542061328312e-6	1.6512549537648613e-4	7.481658	low
14417	0.0015879733632634624	0.1346153846153846	7.48766	low
559897	4.436957430338296e-7	3.245910153206959e-5	0.10149	low
34187	3.4953016231490926e-4	0.01056338028169014	24.4828	high
23993	0.024447858806777297	0.9298245614035088	29.151544	high
342099	0	0	16.3584	medium
168118	2.770537501882716e-4	0.02127659574468085	30.12785	high
237782	2.4363124607555467e-4	0.02272727272727272	16.60395	medium
514743	4.25531914893617e-4	0.04	18.180712	medium
24854	0.010044784388100435	0.27816901408450706	24.4828	high
22917	0.0026064054705752654	0.1801125703564728	24.961605	high
62626	0.0010300470885941794	0.04929577464788732	24.4828	high
384463	0	0	16.3584	medium
820493	0	0	16.3584	medium
494154	3.7724460540214254e-5	0.00354609929078014	30.12785	high
775393	1.0638297872340425e-4	0.01	18.319192	medium
132386	9.875595054924637e-6	4.930966469428008e-4	7.48766	low
204170	0	0	16.3584	medium
307358	2.7701496065464177e-6	2.603940630153633e-4	2.4534	low
145224	6.79344360628051e-6	5.738880918220947e-4	1.457935	low
174435	0	0	16.3584	medium
439186	6.130170492301733e-7	5.762360262763628e-5	18.82554	medium
2395	0.015119811638723751	0.6207299953205428	13.993715	medium
353888	0	0	16.3584	medium
98714	6.863417982155113e-7	6.451612903225807e-5	11.09547	medium
251968	0	0	16.3584	medium
292676	3.17541476787869e-6	2.339728591483388e-4	13.993715	medium
726729	0	0	16.3584	medium
47502	0.0013535268934717255	0.07801418439716312	30.12785	high
156679	0	0	16.3584	medium
116658	3.136824911234814e-6	1.9834273624823697e-4	-0.585333	low
509917	0	0	16.3584	medium
208229	8.957191204767311e-7	3.817911093577001e-5	-1.649738	low
440241	4.436957430338296e-7	3.245910153206959e-5	0.10149	low
370745	1.0587018077810692e-6	3.245910153206959e-5	0.10149	low
85748	4.0113215901755076e-6	3.0853314527503527e-4	-0.585333	low
764753	0	0	16.3584	medium
463347	1.1343149245672252e-6	9.737730459620878e-5	0.10149	low
20774	1.1169407249247466e-4	0.00135860775053373	2.5694	low
394955	7.208904205492382e-7	3.817911093577001e-5	-1.649738	low
301371	5.670582994722137e-7	3.699319325244155e-5	-1.53759	low
167807	0	0	16.3584	medium
512971	0	0	16.3584	medium
